player_display_name,position,team,opponent,book_stat,pp_line,ud_line
Patrick Mahomes,QB,KC,SF,Passing Yards,0.5,261.5
Patrick Mahomes,QB,KC,SF,Passing Yards,261.5,261.5
Patrick Mahomes,QB,KC,SF,Rushing Yards,26.5,25.5
Jauan Jennings,WR,SF,@KC,Receiving Yards,17.5,15.5
Rashee Rice,WR,KC,SF,Receiving Yards,69.5,66.5
Isiah Pacheco,RB,KC,SF,Rushing + Receiving Yards,89.5,90.5
George Kittle,TE,SF,@KC,Receiving Yards,49.5,46.5
Isiah Pacheco,RB,KC,SF,Receiving Yards,17.5,17.5
Marquez Valdes-Scantling,WR,KC,SF,Receiving Yards,18.5,18.5
Brock Purdy,QB,SF,@KC,Rushing Yards,11.5,11.5
Brock Purdy,QB,SF,@KC,Passing Yards,249.5,247.5
Patrick Mahomes,QB,KC,SF,Pass Completions,25.5,25.5
Isiah Pacheco,RB,KC,SF,Rush Attempts,16.5,17.0
Christian McCaffrey,RB,SF,@KC,Rushing Yards,90.5,92.5
Christian McCaffrey,RB,SF,@KC,Fantasy Score,23.5,20.05
Brock Purdy,QB,SF,@KC,Pass Completions,21.5,21.5
Brock Purdy,QB,SF,@KC,Passing + Rushing Yards,262.5,261.5
Christian McCaffrey,RB,SF,@KC,Receiving Yards,36.5,36.5
Isiah Pacheco,RB,KC,SF,Rushing Yards,68.5,68.5
Travis Kelce,TE,KC,SF,Receptions,7.0,7.0
L'Jarius Sneed,CB,KC,SF,Tackles + Assists,4.5,4.5
Isiah Pacheco,RB,KC,SF,Rushing + Receiving Touchdowns,0.5,0.5
Noah Gray,TE,KC,SF,Receiving Yards,12.5,12.5
Justin Watson,WR,KC,SF,Receptions,1.5,1.5
Arik Armstead,DT,SF,@KC,Tackles + Assists,2.5,2.5
Christian McCaffrey,RB,SF,@KC,Rushing + Receiving Yards,130.5,130.5
Ji'Ayir Brown,S,SF,@KC,Tackles + Assists,5.5,6.0
Brandon Aiyuk,WR,SF,@KC,Fantasy Score,13.5,10.95
Nick Bolton,LB,KC,SF,Tackles + Assists,8.5,8.5
Brandon Aiyuk,WR,SF,@KC,Receiving Yards,63.5,63.5
Javon Hargrave,DT,SF,@KC,Tackles + Assists,2.5,2.5
Dre Greenlaw,LB,SF,@KC,Tackles + Assists,8.5,8.5
Brock Purdy,QB,SF,@KC,Fantasy Score,18.0,17.55
Deommodore Lenoir,CB,SF,@KC,Tackles + Assists,4.5,4.5
Patrick Mahomes,QB,KC,SF,Fantasy Score,19.0,19.95
Isiah Pacheco,RB,KC,SF,Fantasy Score,15.0,13.75
Rashee Rice,WR,KC,SF,Fantasy Score,15.0,11.95
Travis Kelce,TE,KC,SF,Fantasy Score,17.0,13.45
Trent McDuffie,CB,KC,SF,Tackles + Assists,4.5,4.5
Deebo Samuel,WR,SF,@KC,Receiving Yards,57.5,59.5
George Kittle,TE,SF,@KC,Fantasy Score,11.5,9.15
Harrison Butker,K,KC,SF,Field Goals Made,1.5,1.5
Fred Warner,LB,SF,@KC,Tackles + Assists,8.5,8.5
Jake Moody,K,SF,@KC,Field Goals Made,1.5,1.5
Kyle Juszczyk,FB,SF,@KC,Receptions,0.5,
Travis Kelce,TE,KC,SF,Rushing + Receiving Touchdowns,0.5,0.5
Christian McCaffrey,RB,SF,@KC,Rush Attempts,18.5,18.5
Noah Gray,TE,KC,SF,Receptions,1.5,1.5
Charvarius Ward,CB,SF,@KC,Tackles + Assists,4.5,4.5
Travis Kelce,TE,KC,SF,Receiving Yards,72.5,72.5
Rashee Rice,WR,KC,SF,Receptions,6.5,6.5
Brock Purdy,QB,SF,@KC,Interceptions,0.5,0.5
Brock Purdy,QB,SF,@KC,Passing Touchdowns,1.5,
Deebo Samuel,WR,SF,@KC,Fantasy Score,14.0,12.05
Christian McCaffrey,RB,SF,@KC,Receptions,5.0,5.0
Marquez Valdes-Scantling,WR,KC,SF,Receptions,1.5,1.5
Brock Purdy,QB,SF,@KC,Pass Attempts,31.5,31.5
Justin Watson,WR,KC,SF,Receiving Yards,16.5,16.5
Patrick Mahomes,QB,KC,SF,Interceptions,0.5,0.5
Patrick Mahomes,QB,KC,SF,Pass Attempts,36.5,36.5
Brandon Aiyuk,WR,SF,@KC,Receptions,4.5,4.5
Patrick Mahomes,QB,KC,SF,Passing + Rushing Yards,289.5,290.5
Jauan Jennings,WR,SF,@KC,Receptions,1.5,1.5
Deebo Samuel,WR,SF,@KC,Rushing + Receiving Yards,,79.5
Patrick Mahomes,QB,KC,SF,Completion Percentage,,69.9
Brock Purdy,QB,SF,@KC,Completion Percentage,,68.3
Deebo Samuel,WR,SF,@KC,Rushing Yards,,14.5
Nick Bolton,LB,KC,SF,Assisted Tackles,,3.0
Kyle Juszczyk,FB,SF,@KC,Receiving Yards,,1.5
Deebo Samuel,WR,SF,@KC,Receptions,,5.0
Nick Bolton,LB,KC,SF,Solo Tackles,,5.0
Justin Watson,WR,KC,SF,Targets,,3.0
Justin Watson,WR,KC,SF,Rushing + Receiving Yards,,16.5
Noah Gray,TE,KC,SF,Fantasy Score,,2.85
Harrison Butker,K,KC,SF,Kicking Points,,7.0
Nick Bosa,DE,SF,@KC,Tackles + Assists,,3.0
Isiah Pacheco,RB,KC,SF,Targets,,4.0
Marquez Valdes-Scantling,WR,KC,SF,Fantasy Score,,3.55
Jake Moody,K,SF,@KC,Extra Points Made,,2.5
Christian McCaffrey,RB,SF,@KC,Targets,,6.5
L'Jarius Sneed,CB,KC,SF,Solo Tackles,,3.5
Clyde Edwards-Helaire,RB,KC,SF,Receiving Yards,,6.5
Charvarius Ward,CB,SF,@KC,Solo Tackles,,3.5
Rashee Rice,WR,KC,SF,Targets,,8.5
Jake Moody,K,SF,@KC,Kicking Points,,7.5
Jauan Jennings,WR,SF,@KC,Fantasy Score,,3.45
Jauan Jennings,WR,SF,@KC,Targets,,2.5
Brandon Aiyuk,WR,SF,@KC,Targets,,6.5
Justin Reid,S,KC,SF,Tackles + Assists,,6.0
Trent McDuffie,CB,KC,SF,Solo Tackles,,3.0
Nick Bosa,DE,SF,@KC,Sacks,,0.5
George Kittle,TE,SF,@KC,Targets,,5.5
Deebo Samuel,WR,SF,@KC,Targets,,6.5
Dre Greenlaw,LB,SF,@KC,Assisted Tackles,,3.0
Noah Gray,TE,KC,SF,Targets,,2.5
Travis Kelce,TE,KC,SF,Targets,,9.0
Fred Warner,LB,SF,@KC,Solo Tackles,,5.0
Marquez Valdes-Scantling,WR,KC,SF,Targets,,3.0
Justin Watson,WR,KC,SF,Fantasy Score,,3.35
George Kittle,TE,SF,@KC,Receptions,,4.0
Justin Reid,S,KC,SF,Solo Tackles,,4.0
